job_type,model,dataset_size,batch_size,epochs,worker_cpu,worker_gpu,worker_mem,runtime
preprocessing,xgboost,42095,16,1,16,4,32768,12.12275304
feature_extraction,resnet101,101015,64,5,32,4,32768,10.16571237
feature_extraction,gru,22521,16,1,8,1,8192,118.8733954
preprocessing,k-nearest_neighbors (k-nn),14360,128,2,16,1,32768,5.59962589
training,mobilenet,12085,16,3,8,2,32768,106.5274778
training,vgg19,56808,16,4,8,2,32768,834.0240995
inference,principal_component_analysis (pca),2494,128,4,16,2,32768,0.0919361
feature_extraction,lightgbm,7755,64,2,32,2,32768,0.875019765
feature_extraction,xgboost,3375,16,1,16,3,32768,6.203741369
inference,bert-base,5615,32,5,8,1,8192,8.461296263
feature_extraction,vgg16,4563,32,2,16,1,32768,3.646737988
evaluation,gpt2,41687,64,1,8,2,65536,12.3958842
feature_extraction,vgg19,17682,32,4,4,3,16384,15.45369653
inference,gpt2-medium,31480,64,3,16,1,16384,9.548873847
evaluation,principal_component_analysis (pca),15872,128,1,4,1,16384,1.340533971
evaluation,gpt2,9305,32,3,8,3,16384,10.29096119
training,polynomial_regression,28496,128,1,8,2,16384,1.212029348
training,resnet101,20446,32,1,32,3,16384,12.46474957
preprocessing,principal_component_analysis (pca),69066,16,4,16,2,32768,24.03999229
training,gpt2,46720,16,1,16,4,32768,91.15847281
evaluation,linear_regression,10718,128,2,16,2,32768,0.473436954
inference,k-nearest_neighbors (k-nn),16815,32,3,8,3,65536,8.962690329
training,resnet101,59903,16,1,16,1,65536,224.752984
training,naive_bayes,25653,64,5,16,1,32768,21.09183803
training,vgg16,19091,32,5,4,3,32768,90.4399469
evaluation,catboost,3182,16,2,16,2,16384,11.66109771
feature_extraction,linear_regression,29047,64,2,8,2,16384,4.740517706
evaluation,vgg19,50371,16,3,32,3,65536,152.1445499
evaluation,gpt2,19387,32,3,4,1,16384,38.36644826
training,vgg16,30995,16,3,16,1,32768,346.2494496
inference,gpt2-medium,31501,32,4,8,2,65536,31.99112994
training,naive_bayes,38591,128,2,16,2,32768,2.710112901
preprocessing,linear_regression,6956,16,3,8,4,32768,1.917802423
inference,principal_component_analysis (pca),4910,16,1,8,1,16384,18.49441081
feature_extraction,gru,21001,64,1,16,2,16384,3.648460748
inference,gpt2-medium,37000,16,4,8,3,8192,138.1363314
feature_extraction,k-nearest_neighbors (k-nn),130782,16,5,8,2,8192,336.8390195
feature_extraction,logistic_regression,11187,32,2,8,1,32768,7.154339108
inference,lightgbm,11158,16,2,8,1,8192,58.14133403
